"ID","Rodada","CasaID","VisitanteID","PlacarCasa","PlacarVisitante"
211351,6,275,266,3,1
211352,6,264,276,3,2
211353,6,283,373,2,0
211354,6,293,277,0,2
211355,6,284,265,1,0
211356,6,287,282,2,0
211357,6,303,315,3,2
211358,6,314,262,1,1
211359,28,266,314,1,0
211360,28,267,263,1,0
211361,28,277,287,2,2
211362,28,276,293,2,1
211363,28,283,303,2,1
211364,28,294,284,0,1
211365,28,292,282,1,1
211366,28,265,264,2,0
211367,28,373,275,1,3
211368,28,315,262,0,1
211369,27,263,315,2,1
211370,27,262,266,1,1
211371,27,275,265,2,2
211372,27,264,294,3,1
211373,27,282,276,1,0
211374,27,293,373,2,2
211375,27,284,283,0,1
211376,27,287,292,1,2
211377,27,303,277,1,1
211378,27,314,267,1,2
211379,7,266,284,0,2
211380,7,262,303,2,0
211381,7,277,275,1,0
211382,7,264,283,1,0
211383,7,282,293,0,1
211384,7,294,265,0,0
211385,7,292,276,0,0
211386,7,287,263,2,2
211387,7,373,314,3,1
211388,7,315,267,2,1
211389,8,266,262,2,2
211390,8,267,314,1,0
211391,8,277,303,0,0
211392,8,276,282,1,2
211393,8,283,284,3,3
211394,8,294,264,0,0
211395,8,292,287,1,3
211396,8,265,275,2,4
211397,8,373,293,0,1
211398,8,315,263,0,2
211399,9,263,267,3,1
211400,9,262,315,5,1
211401,9,275,373,1,0
211402,9,264,265,3,0
211403,9,282,292,2,2
211404,9,293,276,1,0
211405,9,284,294,2,0
211406,9,287,277,0,2
211407,9,303,283,1,0
211408,9,314,266,0,3
211409,26,263,287,2,3
211410,26,267,315,1,1
211411,26,275,277,0,1
211412,26,276,292,1,0
211413,26,283,264,1,1
211414,26,293,282,0,2
211415,26,284,266,1,0
211416,26,265,294,1,1
211417,26,303,262,1,0
211418,26,314,373,0,2
211419,10,263,314,0,2
211420,10,267,373,1,0
211421,10,277,292,0,1
211422,10,276,266,1,1
211423,10,283,294,2,0
211424,10,293,287,4,1
211425,10,284,264,0,1
211426,10,265,262,0,1
211427,10,303,275,1,2
211428,10,315,282,0,1
211429,25,266,275,0,1
211430,25,262,314,1,1
211431,25,277,293,1,0
211432,25,276,264,1,1
211433,25,282,287,1,3
211434,25,294,263,2,3
211435,25,292,267,1,1
211436,25,265,284,1,0
211437,25,373,283,1,2
211438,25,315,303,1,0
211439,11,266,315,3,3
211440,11,262,276,2,0
211441,11,275,284,1,0
211442,11,264,263,1,0
211443,11,282,283,3,1
211444,11,294,267,2,2
211445,11,292,293,1,0
211446,11,287,265,0,0
211447,11,373,277,1,1
211448,24,263,277,2,0
211449,11,314,303,0,0
211450,24,262,292,2,0
211451,24,275,294,1,0
211452,24,264,267,1,0
211453,24,283,265,1,0
211454,24,293,266,3,1
211455,24,284,315,0,1
211456,24,287,276,1,2
211457,24,303,373,1,3
211458,24,314,282,1,1
211459,23,263,262,2,0
211460,23,267,284,1,0
211461,23,277,264,2,0
211462,23,276,303,2,2
211463,23,282,275,1,1
211464,23,293,294,1,1
211465,23,292,314,0,1
211466,23,287,266,2,2
211467,23,373,265,1,1
211468,23,315,283,1,2
211469,12,263,282,1,1
211470,12,267,262,0,1
