"ID","Apelido","ClubeID","PosicaoID"
78117,"Everaldo",373,5
78248,"Gustavo Henrique",277,3
78371,"Miller Bolaños",284,5
78407,"Douglas Grolli",315,3
78414,"Rafael Donato",283,3
78445,"Renê",262,2
78464,"Fábio Braga",303,4
78478,"Willian Arão",262,4
78495,"Marcos",373,1
78497,"Arnaldo",263,2
78548,"Jean Mota",277,4
78578,"Paulinho",287,5
78584,"Douglas Friedrich",314,1
78605,"Gabriel",264,4
78632,"Bryan",283,2
78715,"Ramiro",284,4
78839,"Gabriel Gasparotto",277,1
78840,"Pedro Castro",314,4
78850,"Reinaldo",315,2
78855,"Thiago Santos",275,4
78856,"Marcão Silva",373,4
78891,"Petros",276,4
78897,"Naldo",303,4
78968,"Leandro Pereira",292,5
78991,"Moisés Ribeiro",315,4
78994,"Eduardo Henrique",293,4
79019,"Jayme de Almeida",262,6
79032,"William Alves",373,3
79035,"Luiz Felipe",277,3
79041,"Thomaz",276,4
79042,"Tiago ",265,3
79066,"Alex Muralha",262,1
79193,"Abuda",373,4
79334,"Ricardo Silva",373,3
79343,"Doriva",373,6
79437,"Roger Machado ",282,6
79553,"Mansur",282,2
79578,"Sassá",283,5
79701,"Lucas Silva",283,4
79702,"Antônio Carlos ",275,3
79887,"Fabiano",275,2
79892,"Nenén",315,4
79966,"Rondinelly",284,4
79973,"Helton Leite",263,1
80076,"Zé Roberto",303,5
80080,"Brenner",263,5
80124,"Matheus Mancini",282,3
80129,"Jadson",303,4
80140,"Nadson",315,4
80188,"Marcos Junior",266,5
80189,"Lucas Fonseca",265,3
80196,"Yago Pikachu",267,2
80281,"Cleberson",293,3
80286,"Matheus Vidotto",264,1
80313,"Gilberto ",267,2
80318,"Ezequiel ",283,2
80337,"Arthur ",315,5
80363,"Ariel Cabral",283,4
80370,"Edson",265,4
80373,"Wanderson",373,2
80374,"Norberto ",287,2
80441,"Bonfim ",373,3
80537,"Michael",266,5
80583,"Lucas Lima",277,4
80692,"Luan",275,3
80853,"Pedro Geromel",284,3
80944,"Marlone",282,4
81094,"Vitor Prada",314,1
81150,"Mayke",275,2
81219,"Thallyson",287,2
81223,"Erazo",282,3
81241,"Oswaldo Henríquez",292,3
81682,"Cazares",282,4
81684,"Andrés Ríos",267,5
81770,"Clayton",282,5
81794,"Cláudio Prates",275,6
81798,"Rossi",315,5
81845,"Alisson",283,4
81898,"Osman",315,5
81903,"Wellington Simião",314,4
81905,"Henrique Dourado",266,5
81923,"Donatti",262,3
82411,"Cueva",276,4
82455,"Zé Rafael ",265,4
82463,"Otávio ",293,4
82469,"Douglas Coutinho ",293,5
82515,"Reginaldo",266,3
82567,"Moisés",315,4
82613,"Alan Costa",287,3
82625,"Maurinho",314,5
82627,"Luiz Araújo",276,5
82628,"Tinga",265,2
82632,"Lucas Coelho",284,5
82634,"Matheus Galdezani",294,4
82644,"Léo Artur",303,4
82647,"Régis",265,4
82754,"André Castro",373,4
82773,"Gilvan",373,3
82787,"Joel",314,5
82791,"Toshi",314,5
82817,"Tomas Bastos",294,4
82876,"Betinho",373,4
82943,"Matheus Ribeiro",277,2
83004,"Otero",282,4
83048,"Rafael Thyere",284,3
83263,"Yuri",265,4
83266,"Marcos Guilherme ",276,4
83433,"Patrick",292,4
83522,"Fagner Alemão",314,2
83615,"Thiago Martins",265,3
83683,"Andrei Girotto",315,4
83772,"Neilton",287,5
83786,"Neris",292,3
83791,"Diego Jardel",314,4
83813,"Júlio César ",315,5
83817,"Clayson",264,5
83869,"Diego Tavares",314,2
84310,"Luan Viana",284,5
84313,"Feijão",265,4
84320,"Recife",262,4
84382,"Danilo Barcelos",303,4
84523,"Romarinho",266,5
84530,"Maxi Rodríguez",284,4
84554,"Lucão",276,3
84558,"Lucas Romero",283,4
84585,"Allione",265,4
84691,"Judson",314,4
84703,"Niltinho",373,5
84718,"Denilson",276,5
84761,"Claudinei Oliveira",314,6
84847,"Luan Peres ",303,3
84848,"Erik",275,5
84851,"Lucas Cândido",282,4
84854,"Lucas Frigeri",373,1
84855,"Raul Prata",292,2
84861,"Alex Silva",282,2
84863,"Alberto Valentim",275,6
84890,"Euller ",287,2
84893,"Henrique",267,2
84896,"Lucas Otávio ",314,4
84917,"Jeferson",303,2
84925,"Elder Santana",282,5
84926,"Yago",282,4
84927,"Dodô",315,4
84993,"Fabrício Baiano",294,4
85004,"Marcos Felipe ",266,1
85040,"Gabriel Xavier",287,4
85069,"Renan Paulino",293,4
85083,"Vinicius Silvestre",275,1
85121,"Robert ",266,4
85149,"Ronaldo",292,4
85211,"Thalles",267,5
85241,"Yerry Mina",275,3
85300,"Berrío ",262,5
85418,"Uilson",282,1
85423,"Valdívia",282,4
85425,"João Paulo",277,1
85586,"Jonas",294,4
85591,"Artur",303,2
85626,"Léo",266,2
85629,"Daniel",294,4
85931,"Hyoran",275,4
86120,"Borja",275,5
86143,"Wanderson",293,3
86227,"Morato",276,5
86323,"Walterson",373,5
86410,"Victor Luis",263,2
86411,"Breno Lopes",373,2
86432,"Ramon ",303,5
86485,"Keno",275,5
86486,"Milton Mendes",267,6
86508,"Jandrei",315,1
86519,"Everton Felipe",292,4
86686,"Tchê Tchê",275,4
86711,"Richard",266,4
86713,"Jonathan",373,2
86724,"Luizão",294,3
86740,"João Lucas",303,2
86745,"Lucas Rex",284,3
86757,"Everton",284,5
86759,"Luan",284,5
86760,"Lucas Macanhan",293,1
86764,"Sidcley",293,2
86765,"Bruno Mota",293,4
86766,"Matheus Rossetto",293,4
86775,"Petkovic",287,6
86776,"Jordi",267,1
86783,"Henrique Gelain",294,2
86797,"Raniel",283,5
86859,"José Welison",287,4
86861,"Vinicius",287,3
86863,"Luiz Otávio ",315,3
86874,"Capa",314,2
86932,"Gustavo",265,5
86935,"Rodrigo",292,4
86970,"Eduardo Bauermann",373,3
86972,"Emerson Santos",263,3
86973,"Leonardo",284,2
86974,"Caio César",314,4
87008,"Léo",284,1
87028,"Beto da Silva",284,5
87098,"Matheus Peixoto",265,5
87158,"Cícero",282,4
87192,"Zeca",277,2
87211,"Eduardo Baptista",303,6
87225,"Pedro Henrique",264,3
87228,"Guilherme Arana",264,2
87267,"Marcão",293,3
87342,"Kannemann",284,3
87350,"Buffarini",276,2
87393,"Gabriel",282,3
87398,"Rodrigão",282,3
87437,"Caíque Sá",287,2
87470,"Thaciano",277,4
87486,"Matheus Reis",265,2
87552,"Vitor Bueno",277,4
87679,"Tréllez",287,5
87742,"Neto Moura",292,4
87743,"Léo Santos",294,5
87747,"Yago",287,4
87833,"Luis Caicedo",283,3
87859,"Zeballos",315,2
87863,"Arrascaeta",283,4
87864,"Felipe Gedoz ",293,4
87872,"Fernando Guerrero",315,4
87874,"Orejuela",266,4
87877,"Sornoza",266,4
87887,"Balbuena",264,3
87946,"Júnior",287,5
87999,"Gustavo Scarpa",266,4
88002,"Serginho",277,4
88030,"Warian Santos ",264,4
88070,"Cafu",262,4
88087,"Ramon",287,3
88125,"Yuri",263,4
88136,"Ivan",303,1
88225,"Daniel Guedes ",277,2
88309,"Renato",314,4
88310,"Lucas de Sá",314,4
88323,"Ángel Romero",264,5
88379,"Jean Patrick",303,2
88417,"Iago",294,5
88539,"João Vitor ",373,5
88597,"Lucas Crispim",277,4
88651,"Vinícius Tanque",263,5
88667,"Igor",292,3
88933,"Bruno Paulista",267,4
89150,"Jean",267,4
89156,"Nathan",315,3
89190,"Judivan ",283,5
89227,"Balbino",284,4
89253,"Andreazzi",263,4
89273,"João Pedro ",315,2
89285,"Matheus Sales",265,4
89341,"Nicolas Careca",284,5
89342,"Caju",277,2
89343,"Júnior Tavares",276,2
89492,"Saulo",263,1
89493,"Igor Rabello",263,3
89637,"Thiago Maia",277,4
89676,"Nickson",283,5
89693,"Leonan",282,2
89694,"James Dean",292,5
89695,"Iury",314,5
89696,"Romulo",314,5
89815,"Gustavo Ferrareis",265,4
89839,"Andres Chavez",276,5
89871,"Pisculichi",287,4
89885,"Leandrinho",263,4
